feature,sample_A,sample_B,log2(exprA),log2(exprB),logFC,FDR
c1091186_g4_i1,arm,blastema,0.33571191,7.688236319,-7.35,1.59E-57
c1088792_g2_i5,arm,blastema,0,4.772202387,-4.77,8.16E-48
c1089919_g4_i6,arm,blastema,0,4.948647566,-4.95,9.59E-45
c1047730_g1_i1,Cart,arm,0.028569152,0.709290636,-0.68,3.17E-07
c1078993_g1_i1,Cart,arm,0,1.514501036,-1.51,3.17E-07
c1075446_g5_i3,Cart,arm,0.554834396,2.79243893,-2.24,3.18E-07
c1087416_g10_i1,Cart,arm,0.556797247,0.014355293,0.54,3.18E-07
c876107_g1_i1,Test,muscle,0.420078116,2.09423607,-1.67,0.026009014
c1074311_g2_i1,Test,muscle,0.146655222,2.087802259,-1.94,0.026013933
c1002566_g2_i1,Test,muscle,0,0.372952098,-0.37,0.026014201
c1054854_g2_i2,Test,muscle,2.283625501,0.652601218,1.63,0.026021897
c1083042_g3_i4,Test,muscle,8.419370343,5.719895301,2.7,0.026028847
c1046447_g3_i1,Test,muscle,9.088181358,6.389670054,2.7,0.026034761
